Movie_Title,Release_Date,Wikipedia_URL,Genre,Director_1,Director_2,Cast_1,Cast_2,Cast_3,Cast_4,Cast_5,Budget,Revenue
The Water Diviner,12/26/14,https://en.wikipedia.org/wiki/The_Water_Diviner,Drama,Russell Crowe,,Cem Yılmaz,Miyavi,Yılmaz Erdoğan,,,"$22,500,000.00 ","$30,800,000.00 "
"The Way, Way Back",7/5/13,"https://en.wikipedia.org/wiki/The_Way,_Way_Back",Comédia,Nat Faxon,Jim Rash,Steve Carell,Toni Collette,Allison Janney,AnnaSophia Robb,Sam Rockwell,"$5,000,000.00 ","$5,000,000.00 "
The Wedding Ringer,1/16/15,https://en.wikipedia.org/wiki/The_Wedding_Ringer,Romance,Jeremy Garelick,,Kevin Hart,Josh Gad,Kaley Cuoco,Olivia Thirlby,Alan Ritchson,"$23,000,000.00 ","$79,800,000.00 "
The Witch,1/27/16,https://en.wikipedia.org/wiki/The_Witch_(2015_film),Terror,Robert Eggers,,Anya Taylor-Joy,Ralph Ineson,Kate Dickie,,,"$3,000,000.00 ","$40,400,000.00 "
The Wolverine,7/24/13,https://en.wikipedia.org/wiki/The_Wolverine_(film),Ação,James Mangold,,Hugh Jackman,Famke Janssen,Hiroyuki Sanada,Hal Yamanouchi,Tao Okamoto,"$120,000,000.00 ","$414,800,000.00 "
The Woman in Black,2/3/12,https://en.wikipedia.org/wiki/The_Woman_in_Black_(2012_film),Terror,James Watkins,,Daniel Radcliffe,Ciarán Hinds,Janet McTeer,Liz White,Alisa Khazanova,"$15,000,000.00 ","$128,500,000.00 "
The Woman in Black: Angel of Death,12/30/14,https://en.wikipedia.org/wiki/The_Woman_in_Black:_Angel_of_Death,Terror,Tom Harper,,Phoebe Fox,Jeremy Irvine,Helen McCrory,Adrian Rawlins,Oaklee Pendergast,"$15,000,000.00 ","$48,900,000.00 "
The World's End,7/19/13,https://en.wikipedia.org/wiki/The_World%2527s_End_(film),Comédia,Edgar Wright,,Simon Pegg,Nick Frost,Paddy Considine,Martin Freeman,Eddie Marsan,"$20,000,000.00 ","$46,100,000.00 "
The Young Messiah,3/11/16,https://en.wikipedia.org/wiki/The_Young_Messiah_(film),Drama,Cyrus Nowrasteh,,Adam Greaves-Neal,Sean Bean,,,,"$18,500,000.00 ","$7,200,000.00 "
Think Like a Man,4/20/12,https://en.wikipedia.org/wiki/Think_Like_a_Man,Comédia,Tim Story,,Kevin Hart,Michael Ealy,Taraji P. Henson,Jerry Ferrara,Meagan Good,"$12,000,000.00 ","$96,100,000.00 "
This Is the End,6/12/13,https://en.wikipedia.org/wiki/This_Is_the_End,Comédia,Evan Goldberg,Seth Rogen,Seth Rogen,Jay Baruchel,James Franco,Craig Robinson,Danny McBride,"$32,000,000.00 ","$126,000,000.00 "
This Is Where I Leave You,9/19/14,https://en.wikipedia.org/wiki/This_Is_Where_I_Leave_You,Comédia,Shawn Levy,,Jason Bateman,Tina Fey,Jane Fonda,Timothy Olyphant,Corey Stoll,"$19,800,000.00 ","$41,300,000.00 "
This Means War,2/17/12,https://en.wikipedia.org/wiki/This_Means_War_(film),Ação,McG,,Tom Hardy,Chris Pine,Reese Witherspoon,Chelsea Handler,Til Schweiger,"$65,000,000.00 ","$156,500,000.00 "
Top Five,9/6/14,https://en.wikipedia.org/wiki/Top_Five,Comédia,Chris Rock,,Chris Rock,Rosario Dawson,Genevieve Angelson,Rachel Feinstein,Dan Naturman,"$12,000,000.00 ","$26,100,000.00 "
Top Gun 3D,2/8/13,https://en.wikipedia.org/wiki/Top_Gun,Ação,Tony Scott,,Tom Cruise,Kelly McGillis,Val Kilmer,James Tolkan,Tom Skerritt,"$15,000,000.00 ","$356,800,000.00 "
Total Recall,8/3/12,https://en.wikipedia.org/wiki/Total_Recall_(2012_film),Ação,Len Wiseman,,Colin Farrell,Jessica Biel,Bryan Cranston,Kate Beckinsale,Bill Nighy,"$125,000,000.00 ","$198,500,000.00 "
Trance,3/27/13,https://en.wikipedia.org/wiki/Trance_(2013_film),Crime,Danny Boyle,,James McAvoy,Vincent Cassel,Rosario Dawson,Tuppence Middleton,Lee Nicholas Harris,"$20,000,000.00 ","$24,300,000.00 "
Transcendence,4/10/14,https://en.wikipedia.org/wiki/Transcendence_(2014_film),Ficção científica,Wally Pfister,,Johnny Depp,Paul Bettany,Rebecca Hall,Kate Mara,Morgan Freeman,"$100,000,000.00 ","$103,000,000.00 "
Triple 9,2/16/16,https://en.wikipedia.org/wiki/Triple_9,Crime,John Hillcoat,,Kate Winslet,Woody Harrelson,Gal Gadot,Anthony Mackie,Teresa Palmer,"$20,000,000.00 ","$23,400,000.00 "
Trouble with the Curve,9/21/12,https://en.wikipedia.org/wiki/Trouble_with_the_Curve,Drama,Robert Lorenz,,Clint Eastwood,Amy Adams,Matthew Lillard,Justin Timberlake,John Goodman,"$60,000,000.00 ","$49,000,000.00 "
Trumbo,9/12/15,https://en.wikipedia.org/wiki/Trumbo_(2015_film),Drama,Jay Roach,,Bryan Cranston,Diane Lane,Helen Mirren,John Goodman,Elle Fanning,"$15,000,000.00 ","$8,200,000.00 "
Truth,9/12/15,https://en.wikipedia.org/wiki/Truth_(2015_film),Drama,James Vanderbilt,,Robert Redford,Cate Blanchett,Dennis Quaid,Topher Grace,Elisabeth Moss,"$9,600,000.00 ","$5,400,000.00 "
Turbo,7/17/13,https://en.wikipedia.org/wiki/Turbo_(film),Comédia,David Soren,,Ryan Reynolds,Paul Giamatti,Michael Peña,Luis Guzmán,Bill Hader,"$127,000,000.00 ","$282,600,000.00 "
Tusk,9/6/14,https://en.wikipedia.org/wiki/Tusk_(2014_film),Terror,Kevin Smith,,Michael Parks,Justin Long,Haley Joel Osment,Génesis Rodríguez,Johnny Depp,"$3,000,000.00 ","$1,900,000.00 "
Unbroken,11/17/14,https://en.wikipedia.org/wiki/Unbroken_(film),Drama,Angelina Jolie,,Jack O'Connell,Miyavi,Domhnall Gleeson,Garrett Hedlund,Jai Courtney,"$65,000,000.00 ","$163,400,000.00 "
Unfinished Business,3/6/15,https://en.wikipedia.org/wiki/Unfinished_Business_(2015_film),Comédia,Ken Scott,,Vince Vaughn,Tom Wilkinson,Dave Franco,Sienna Miller,Nick Frost,"$35,000,000.00 ","$14,400,000.00 "
Unfriended,7/20/14,https://en.wikipedia.org/wiki/Unfriended,Terror,Levan Gabriadze,,Shelley Hennig,Renee Olstead,Jacob Wysocki,Will Peltz,,"$1,000,000.00 ","$64,100,000.00 "
Vacation,7/29/15,https://en.wikipedia.org/wiki/Vacation_(2015_film),Aventura,John Francis Daley,Jonathan Goldstein,Ed Helms,Christina Applegate,Leslie Mann,Chris Hemsworth,Charlie Day,"$31,000,000.00 ","$104,900,000.00 "
Vampire Academy,2/7/14,https://en.wikipedia.org/wiki/Vampire_Academy_(film),Ação,Mark Waters,,Zoey Deutch,Lucy Fry,Danila Kozlovsky,,,"$30,000,000.00 ","$15,400,000.00 "
Veronica Mars,3/14/14,https://en.wikipedia.org/wiki/Veronica_Mars_(film),Mistério,Rob Thomas,,Kristen Bell,Jason Dohring,Krysten Ritter,Ryan Hansen,Francis Capra,"$6,000,000.00 ","$3,500,000.00 "
Victor Frankenstein,11/25/15,https://en.wikipedia.org/wiki/Victor_Frankenstein_(film),Terror,Paul McGuigan,,Daniel Radcliffe,James McAvoy,Jessica Brown Findlay,Andrew Scott,,"$40,000,000.00 ","$34,200,000.00 "
Wanderlust,2/24/12,https://en.wikipedia.org/wiki/Wanderlust_(2012_film),Comédia,David Wain,,Paul Rudd,Jennifer Aniston,Malin Akerman,Justin Theroux,Ken Marino,"$35,000,000.00 ","$24,200,000.00 "
War Dogs,8/19/16,https://en.wikipedia.org/wiki/War_Dogs_(2016_film),Crime,Todd Phillips,,Jonah Hill,Miles Teller,Ana de Armas,J. B. Blanc,,"$40,000,000.00 ","$42,700,000.00 "
War Room,8/28/15,https://en.wikipedia.org/wiki/War_Room_(film),Drama,Alex Kendrick,,Alex Kendrick,Priscilla Shirer,T.C. Stallings,Beth Moore,Karen Abercrombie,"$3,000,000.00 ","$73,700,000.00 "
Warcraft,6/10/16,https://en.wikipedia.org/wiki/Warcraft_(film),Ação,Duncan Jones,,Ben Foster,Travis Fimmel,Paula Patton,Toby Kebbell,Dominic Cooper,"$160,000,000.00 ","$433,500,000.00 "
Warm Bodies,2/1/13,https://en.wikipedia.org/wiki/Warm_Bodies_(film),Comédia,Jonathan Levine,,Nicholas Hoult,Teresa Palmer,Rob Corddry,John Malkovich,Analeigh Tipton,"$35,000,000.00 ","$117,000,000.00 "
What Maisie Knew,5/3/13,https://en.wikipedia.org/wiki/What_Maisie_Knew_(film),Drama,Scott McGehee,David Siegel,Julianne Moore,Steve Coogan,Alexander Skarsgård,Joanna Vanderham,Onata Aprile,"$5,000,000.00 ","$2,700,000.00 "
What to Expect When You're Expecting,5/18/12,https://en.wikipedia.org/wiki/What_to_Expect_When_You%2527re_Expecting_(film),Comédia,Kirk Jones,,Cameron Diaz,Jennifer Lopez,Brooklyn Decker,Elizabeth Banks,Anna Kendrick,"$40,000,000.00 ","$84,400,000.00 "
When the Game Stands Tall,8/4/14,https://en.wikipedia.org/wiki/When_the_Game_Stands_Tall,Religioso,Thomas Carter,,Jim Caviezel,Laura Dern,Michael Chiklis,Alexander Ludwig,,"$15,000,000.00 ","$30,100,000.00 "
Whiplash,1/16/14,https://en.wikipedia.org/wiki/Whiplash_(2014_film),Drama,Damien Chazelle,,J. K. Simmons,Miles Teller,Paul Reiser,Melissa Benoist,,"$3,300,000.00 ","$49,000,000.00 "
Whiskey Tango Foxtrot,3/4/16,https://en.wikipedia.org/wiki/Whiskey_Tango_Foxtrot_(film),Drama,Glenn Ficarra,John Requa,Tina Fey,Margot Robbie,Martin Freeman,Billy Bob Thornton,Alfred Molina,"$35,000,000.00 ","$24,900,000.00 "
White House Down,6/28/13,https://en.wikipedia.org/wiki/White_House_Down,Ação,Roland Emmerich,,Channing Tatum,Jamie Foxx,Maggie Gyllenhaal,James Woods,Richard Jenkins,"$150,000,000.00 ","$205,000,000.00 "
Wild,8/29/14,https://en.wikipedia.org/wiki/Wild_(2014_film),Drama,Jean-Marc Vallée,,Reese Witherspoon,Gaby Hoffmann,Michiel Huisman,Charles Baker,,"$15,000,000.00 ","$52,500,000.00 "
Winter's Tale,2/13/14,https://en.wikipedia.org/wiki/Winter%2527s_Tale_(film),Drama,Akiva Goldsman,,Colin Farrell,Russell Crowe,Jessica Brown Findlay,Jennifer Connelly,Will Smith,"$60,000,000.00 ","$31,100,000.00 "
Wish I Was Here,1/18/14,https://en.wikipedia.org/wiki/Wish_I_Was_Here,Drama,Zach Braff,,Zach Braff,Kate Hudson,Jim Parsons,Mandy Patinkin,Ashley Greene,"$6,000,000.00 ","$5,500,000.00 "
Woman in Gold,4/1/15,https://en.wikipedia.org/wiki/Woman_in_Gold_(film),Drama,Simon Curtis,,Helen Mirren,Ryan Reynolds,Daniel Brühl,Katie Holmes,Tatiana Maslany,"$11,000,000.00 ","$61,600,000.00 "
Won't Back Down,9/28/12,https://en.wikipedia.org/wiki/Won%2527t_Back_Down_(film),Drama,Daniel Barnz,,Viola Davis,Maggie Gyllenhaal,Holly Hunter,Ving Rhames,Rosie Perez,"$19,000,000.00 ","$5,400,000.00 "
Woodlawn,10/16/15,https://en.wikipedia.org/wiki/Woodlawn_(film),Drama,The Erwin Brothers,,Sean Astin,Nic Bishop,Caleb Castille,Sherri Shepherd,Jon Voight,"$13,000,000.00 ","$14,400,000.00 "
World War Z,6/21/13,https://en.wikipedia.org/wiki/World_War_Z_(film),Ação,Marc Forster,,Brad Pitt,Mireille Enos,James Badge Dale,Daniella Kertesz,Matthew Fox,"$190,000,000.00 ","$540,000,000.00 "
Wrath of the Titans,3/30/12,https://en.wikipedia.org/wiki/Wrath_of_the_Titans,Ação,Jonathan Liebesman,,Sam Worthington,Liam Neeson,Ralph Fiennes,Edgar Ramirez,Rosamund Pike,"$150,000,000.00 ","$305,300,000.00 "
X-Men: Apocalypse,5/9/16,https://en.wikipedia.org/wiki/X-Men:_Apocalypse,Ação,Bryan Singer,,James McAvoy,Michael Fassbender,Jennifer Lawrence,Oscar Isaac,Nicholas Hoult,"$178,000,000.00 ","$544,600,000.00 "
X-Men: Days of Future Past,5/10/14,https://en.wikipedia.org/wiki/X-Men:_Days_of_Future_Past,Ação,Bryan Singer,,Hugh Jackman,James McAvoy,Michael Fassbender,Halle Berry,Jennifer Lawrence,"$200,000,000.00 ","$747,900,000.00 "
You're Next,8/23/13,https://en.wikipedia.org/wiki/You%2527re_Next,Terror,Adam Wingard,,Sharni Vinson,Joe Swanberg,AJ Bowen,Nicholas Tucci,Barbara Crampton,"$1,000,000.00 ","$26,800,000.00 "
Zero Dark Thirty,12/19/12,https://en.wikipedia.org/wiki/Zero_Dark_Thirty,Drama,Kathryn Bigelow,,Jessica Chastain,Chris Pratt,Joel Edgerton,Kyle Chandler,Jason Clarke,"$40,000,000.00 ","$132,800,000.00 "
Zhong Kui: Snow Girl and the Dark Crystal,2/19/15,https://en.wikipedia.org/wiki/Zhong_Kui:_Snow_Girl_and_the_Dark_Crystal,Romance,Peter Pau,,Li Bingbing,Chen Kun,Yang Zishan,Winston Chao,Bao Bei'er,"$30,000,000.00 ","$64,470,000.00 "
Zoolander 2,2/12/16,https://en.wikipedia.org/wiki/Zoolander_2,Comédia,Ben Stiller,,Ben Stiller,Owen Wilson,Christine Taylor,Will Ferrell,Penélope Cruz,"$50,000,000.00 ","$56,000,000.00 "
