Movie_Title,Release_Date,Wikipedia_URL,Genre,Director_1,Director_2,Cast_1,Cast_2,Cast_3,Cast_4,Cast_5,Budget,Revenue
Rush,9/20/13,https://en.wikipedia.org/wiki/Rush_(2013_film),Ação,Ron Howard,,Chris Hemsworth,Daniel Bruhl,Olivia Wilde,Alexandra Maria Lara,,"$38,000,000.00 ","$90,200,000.00 "
Sabotage,3/19/14,https://en.wikipedia.org/wiki/Sabotage_(2014_film),Ação,David Ayer,,Arnold Schwarzenegger,Mireille Enos,Sam Worthington,Joe Manganiello,Olivia Williams,"$35,000,000.00 ","$17,500,000.00 "
Safe House,2/10/12,https://en.wikipedia.org/wiki/Safe_House_(2012_film),Ação,Daniel Espinosa,,Denzel Washington,Ryan Reynolds,Sam Shepard,Robert Patrick,Liam Cunningham,"$85,000,000.00 ","$208,100,000.00 "
Salmon Fishing in the Yemen,3/9/12,https://en.wikipedia.org/wiki/Salmon_Fishing_in_the_Yemen,Drama,Lasse Hallström,,Ewan McGregor,Emily Blunt,Kristin Scott Thomas,Amr Waked,,"$14,400,000.00 ","$34,600,000.00 "
Savages,7/6/12,https://en.wikipedia.org/wiki/Savages_(2012_film),Crime,Oliver Stone,,Taylor Kitsch,Blake Lively,Aaron Johnson,John Travolta,Benicio del Toro,"$45,000,000.00 ","$83,000,000.00 "
Scary Movie 5,4/12/13,https://en.wikipedia.org/wiki/Scary_Movie_5,Comédia,Malcolm D. Lee,,Ashley Tisdale,Simon Rex,Lindsay Lohan,Charlie Sheen,Terry Crews,"$20,000,000.00 ","$78,400,000.00 "
Secret in Their Eyes,11/20/15,https://en.wikipedia.org/wiki/Secret_in_Their_Eyes,Crime,Billy Ray,,Julia Roberts,Nicole Kidman,Chiwetel Ejiofor,Dean Norris,,"$19,500,000.00 ","$32,200,000.00 "
Self/less,7/10/15,https://en.wikipedia.org/wiki/Self/less,Drama,Tarsem Singh,,Ryan Reynolds,Ben Kingsley,Natalie Martinez,Victor Garber,Matthew Goode,"$26,000,000.00 ","$30,500,000.00 "
Selma,12/25/14,https://en.wikipedia.org/wiki/Selma_(film),Drama,Ava DuVernay,,David Oyelowo,Tom Wilkinson,Common,Carmen Ejogo,,"$20,000,000.00 ","$66,800,000.00 "
Seventh Son,12/17/14,https://en.wikipedia.org/wiki/Seventh_Son_(film),Fantasia,Sergei Bodrov,,Sergei Bodrov (director) Ben Barnes,Jeff Bridges,Julianne Moore,Alicia Vikander,Kit Harington,"$95,000,000.00 ","$114,200,000.00 "
Shaun the Sheep Movie,1/24/15,https://en.wikipedia.org/wiki/Shaun_the_Sheep_Movie,Aventura,Mark Burton,,Justin Fletcher,John Sparkes,,,,"$25,000,000.00 ","$106,000,000.00 "
Sicario,5/19/15,https://en.wikipedia.org/wiki/Sicario_(2015_film),Crime,Denis Villeneuve,,Emily Blunt,Benicio del Toro,Josh Brolin,Jon Bernthal,,"$30,000,000.00 ","$84,900,000.00 "
Side Effects,2/8/13,https://en.wikipedia.org/wiki/Side_Effects_(2013_film),Crime,Steven Soderbergh,,Rooney Mara,Jude Law,Channing Tatum,Catherine Zeta-Jones,Vinessa Shaw,"$30,000,000.00 ","$66,700,000.00 "
Silent Hill: Revelation 3D,10/26/12,https://en.wikipedia.org/wiki/Silent_Hill:_Revelation_3D,Terror,Michael J. Bassett,,Adelaide Clemens,Sean Bean,Radha Mitchell,Kit Harington,Carrie-Anne Moss,"$20,000,000.00 ","$52,300,000.00 "
Silver Linings Playbook,11/16/12,https://en.wikipedia.org/wiki/Silver_Linings_Playbook,Drama,David O. Russell,,Bradley Cooper,Jennifer Lawrence,Brea Bee,Robert De Niro,Jacki Weaver,"$21,000,000.00 ","$236,400,000.00 "
Sin City: A Dame to Kill For,8/19/14,https://en.wikipedia.org/wiki/Sin_City:_A_Dame_to_Kill_For,Crime,Frank Miller,Robert Rodriguez,Jessica Alba,Powers Boothe,Josh Brolin,Rosario Dawson,Joseph Gordon-Levitt,"$65,000,000.00 ","$39,400,000.00 "
Sinister,10/12/12,https://en.wikipedia.org/wiki/Sinister_(film),Terror,Scott Derrickson,,Ethan Hawke,Juliet Rylance,Fred Thompson,Vincent D'Onofrio,,"$3,000,000.00 ","$77,700,000.00 "
